,name,description
0,VizWiz_train_000000000000.jpg,"{'categories': [{'name': 'others_', 'score': 0.0078125}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.006206562742590904, 'racyScore': 0.008436331525444984}, 'color': {'dominantColorForeground': 'Brown', 'dominantColorBackground': 'Brown', 'dominantColors': ['Brown'], 'accentColor': 'A77124', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'bottle', 'confidence': 0.9831035137176514}, {'name': 'indoor', 'confidence': 0.9509612321853638}, {'name': 'food', 'confidence': 0.9509612321853638}, {'name': 'beer', 'confidence': 0.7235718351249667}, {'name': 'wine', 'confidence': 0.2801941393055822}], 'description': {'tags': ['bottle', 'indoor', 'table', 'sitting', 'wine', 'food', 'glass', 'plate', 'red', 'sandwich', 'laying', 'coffee', 'white'], 'captions': [{'text': 'a bottle of wine on a table', 'confidence': 0.7408009412153109}]}, 'faces': [], 'requestId': 'b57117ef-4434-4987-ab83-a2916fc451ad', 'metadata': {'width': 1224, 'height': 1632, 'format': 'Jpeg'}}"
1,VizWiz_train_000000000001.jpg,"{'categories': [{'name': 'others_', 'score': 0.2890625}, {'name': 'outdoor_', 'score': 0.00390625, 'detail': {'landmarks': []}}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.004785448778420687, 'racyScore': 0.00593516556546092}, 'color': {'dominantColorForeground': 'Black', 'dominantColorBackground': 'White', 'dominantColors': ['White', 'Black', 'Grey'], 'accentColor': '8A6D41', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'indoor', 'confidence': 0.9914280772209167}, {'name': 'wall', 'confidence': 0.9842075705528259}, {'name': 'kitchen', 'confidence': 0.9842075705528259}], 'description': {'tags': ['indoor', 'cabinet', 'kitchen', 'small', 'refrigerator', 'counter', 'sitting', 'white', 'sink', 'microwave', 'wooden', 'brown', 'black', 'steel', 'stove', 'mirror', 'oven', 'holding', 'table', 'stainless', 'man', 'standing', 'room'], 'captions': [{'text': 'a kitchen with a sink and a microwave', 'confidence': 0.2608356948796478}]}, 'faces': [], 'requestId': '77b5735a-806e-4c62-8134-b14707e3a8a8', 'metadata': {'width': 968, 'height': 1296, 'format': 'Jpeg'}}"
2,VizWiz_train_000000000002.jpg,"{'categories': [{'name': 'others_', 'score': 0.01953125}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.001864235964603722, 'racyScore': 0.004589310381561518}, 'color': {'dominantColorForeground': 'Orange', 'dominantColorBackground': 'Brown', 'dominantColors': [], 'accentColor': 'B77B14', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'orange', 'confidence': 0.41752228140830994}, {'name': 'can', 'confidence': 0.19264987111091614}, {'name': 'food', 'confidence': 0.19264987111091614}, {'name': 'beer', 'confidence': 0.13753027008773214}, {'name': 'bottle', 'confidence': 0.07996168341685916}], 'description': {'tags': ['bottle', 'sitting', 'table', 'orange', 'laying', 'cellphone', 'food', 'phone', 'empty', 'can', 'banana', 'black', 'fruit'], 'captions': [{'text': 'a can of soda', 'confidence': 0.7458208160883008}]}, 'faces': [], 'requestId': 'c70cd187-2a77-4763-9b57-e227764a52fb', 'metadata': {'width': 1224, 'height': 1632, 'format': 'Jpeg'}}"
3,VizWiz_train_000000000003.jpg,"{'categories': [{'name': 'others_', 'score': 0.0234375}, {'name': 'text_', 'score': 0.5}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.010519511997699738, 'racyScore': 0.014616058208048344}, 'color': {'dominantColorForeground': 'White', 'dominantColorBackground': 'White', 'dominantColors': ['White'], 'accentColor': '619338', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'screenshot', 'confidence': 0.9991968274116516}, {'name': 'abstract', 'confidence': 0.9960152506828308}, {'name': 'software', 'confidence': 0.339546430036565}, {'name': 'design', 'confidence': 0.09516945507829468}, {'name': 'comparison', 'confidence': 0.07968042022281631}], 'description': {'tags': ['screenshot', 'abstract'], 'captions': [{'text': 'a screenshot of a cell phone', 'confidence': 0.9576247178149149}]}, 'faces': [], 'requestId': '78c6f88f-c614-4752-86ed-4101d80a4600', 'metadata': {'width': 320, 'height': 480, 'format': 'Jpeg'}}"
4,VizWiz_train_000000000006.jpg,"{'categories': [{'name': 'others_', 'score': 0.00390625}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.004294660873711109, 'racyScore': 0.010492829605937004}, 'color': {'dominantColorForeground': 'Orange', 'dominantColorBackground': 'Grey', 'dominantColors': ['Orange'], 'accentColor': 'BC410F', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'bottle', 'confidence': 0.9740593433380127}, {'name': 'food', 'confidence': 0.9740593433380127}, {'name': 'packaging', 'confidence': 0.15127680843547434}, {'name': 'coffee', 'confidence': 0.07352021370197832}], 'description': {'tags': ['bottle', 'table', 'sitting', 'food', 'cellphone', 'phone', 'orange', 'beer', 'counter', 'restaurant', 'refrigerator'], 'captions': [{'text': 'a close up of a bottle', 'confidence': 0.7466027248267113}]}, 'faces': [], 'requestId': 'ebd7916b-28af-4e66-bef6-9afffb42e981', 'metadata': {'width': 1224, 'height': 1632, 'format': 'Jpeg'}}"
5,VizWiz_train_000000000007.jpg,"{'categories': [{'name': 'others_', 'score': 0.51171875}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.2112206369638443, 'racyScore': 0.2915458679199219}, 'color': {'dominantColorForeground': 'Grey', 'dominantColorBackground': 'Black', 'dominantColors': ['Black'], 'accentColor': '955636', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'person', 'confidence': 0.9243687987327576}, {'name': 'indoor', 'confidence': 0.8654704689979553}, {'name': 'hand', 'confidence': 0.5569533109664917}, {'name': 'smartphone', 'confidence': 0.5569533109664917}, {'name': 'watch', 'confidence': 0.3488484177146607}, {'name': 'phone', 'confidence': 0.20596056317818626}], 'description': {'tags': ['person', 'indoor', 'hand', 'small', 'sitting', 'man', 'holding', 'black', 'white', 'table', 'phone', 'laying', 'remote', 'blue'], 'captions': [{'text': 'a hand holding a cell phone', 'confidence': 0.3326841203874476}]}, 'faces': [], 'requestId': '5055bbc2-0a52-4a48-bf0a-4c16f43e7a5f', 'metadata': {'width': 768, 'height': 1024, 'format': 'Jpeg'}}"
6,VizWiz_train_000000000009.jpg,"{'categories': [{'name': 'others_', 'score': 0.1015625}, {'name': 'outdoor_', 'score': 0.00390625, 'detail': {'landmarks': []}}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.009180866181850433, 'racyScore': 0.020704474300146103}, 'color': {'dominantColorForeground': 'Grey', 'dominantColorBackground': 'Grey', 'dominantColors': ['Grey'], 'accentColor': '0D0D13', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'indoor', 'confidence': 0.858960747718811}, {'name': 'kitchenware', 'confidence': 0.5240487456321716}, {'name': 'design', 'confidence': 0.5240487456321716}, {'name': 'car', 'confidence': 0.2234391559944466}, {'name': 'drop', 'confidence': 0.20294041481461758}, {'name': 'art', 'confidence': 0.17096273927839864}, {'name': 'water', 'confidence': 0.1333587786298202}], 'description': {'tags': ['indoor', 'small', 'white', 'table', 'room', 'remote'], 'captions': [{'text': 'a close up of a white wall', 'confidence': 0.4816106364093937}]}, 'faces': [], 'requestId': '8a642e47-094a-42c4-adfb-f96223a72f76', 'metadata': {'width': 484, 'height': 648, 'format': 'Jpeg'}}"
7,VizWiz_train_000000000010.jpg,"{'categories': [{'name': 'others_', 'score': 0.984375}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.012386121787130833, 'racyScore': 0.01849193125963211}, 'color': {'dominantColorForeground': 'Black', 'dominantColorBackground': 'White', 'dominantColors': ['Black', 'White'], 'accentColor': 'A95622', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'person', 'confidence': 0.989632248878479}, {'name': 'indoor', 'confidence': 0.8976913690567017}, {'name': 'electronics', 'confidence': 0.879004955291748}, {'name': 'computer', 'confidence': 0.5695374608039856}, {'name': 'cellphone', 'confidence': 0.14459773898124695}, {'name': 'smartphone', 'confidence': 0.14459773898124695}, {'name': 'phone', 'confidence': 0.03915080008002272}, {'name': 'apple', 'confidence': 0.032975386707055895}, {'name': 'mac', 'confidence': 0.02129824688335136}, {'name': 'laptop', 'confidence': 0.018716112030815482}, {'name': 'ipod', 'confidence': 0.016839384950859647}, {'name': 'gadget', 'confidence': 0.01590239206490924}], 'description': {'tags': ['person', 'indoor', 'electronics', 'cellphone', 'holding', 'phone', 'man', 'computer', 'hand', 'photo', 'table', 'monitor', 'white', 'woman', 'laying', 'playing', 'teeth'], 'captions': [{'text': 'a hand holding a cellphone', 'confidence': 0.9337091944456669}]}, 'faces': [], 'requestId': '64fbb6d9-6521-4b5c-b297-539afc150d2e', 'metadata': {'width': 1224, 'height': 1632, 'format': 'Jpeg'}}"
8,VizWiz_train_000000000011.jpg,"{'categories': [{'name': 'others_', 'score': 0.00390625}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.347150057554245, 'racyScore': 0.3772575557231903}, 'color': {'dominantColorForeground': 'Brown', 'dominantColorBackground': 'Brown', 'dominantColors': ['Brown'], 'accentColor': 'C5B306', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'person', 'confidence': 0.9933972358703613}, {'name': 'indoor', 'confidence': 0.9675222039222717}, {'name': 'hand', 'confidence': 0.5231379866600037}, {'name': 'finger', 'confidence': 0.5231379866600037}, {'name': 'thumb', 'confidence': 0.08535734615550601}, {'name': 'nail', 'confidence': 0.05559470094433378}], 'description': {'tags': ['person', 'indoor', 'hand', 'holding', 'food', 'sitting', 'small', 'table', 'phone', 'woman', 'computer', 'tattoo', 'man', 'white', 'plate', 'standing'], 'captions': [{'text': 'a hand holding a cell phone', 'confidence': 0.4278221490325749}]}, 'faces': [], 'requestId': '841178b5-8411-4227-92bd-dec32103c47a', 'metadata': {'width': 1224, 'height': 1632, 'format': 'Jpeg'}}"
9,VizWiz_train_000000000012.jpg,"{'categories': [{'name': 'others_', 'score': 0.3984375}], 'adult': {'isAdultContent': False, 'isRacyContent': False, 'adultScore': 0.025950754061341286, 'racyScore': 0.027398230507969856}, 'color': {'dominantColorForeground': 'Grey', 'dominantColorBackground': 'Black', 'dominantColors': ['Black', 'Grey', 'White'], 'accentColor': '9C452F', 'isBwImg': False, 'isBWImg': False}, 'imageType': {'clipArtType': 0, 'lineDrawingType': 0}, 'tags': [{'name': 'person', 'confidence': 0.998909592628479}, {'name': 'electronics', 'confidence': 0.9970845580101013}, {'name': 'remote', 'confidence': 0.9954362511634827}, {'name': 'calculator', 'confidence': 0.9411704540252686}, {'name': 'remote control', 'confidence': 0.8931238651275635}, {'name': 'hand', 'confidence': 0.8587124347686768}, {'name': 'black', 'confidence': 0.8345642685890198}, {'name': 'game', 'confidence': 0.8201861381530762}, {'name': 'cellphone', 'confidence': 0.153951495885849}, {'name': 'phone', 'confidence': 0.027878464444813043}], 'description': {'tags': ['person', 'electronics', 'remote', 'calculator', 'hand', 'black', 'holding', 'game', 'control', 'man', 'television', 'sitting', 'dog', 'cellphone', 'large', 'playing', 'video', 'white', 'wii'], 'captions': [{'text': 'a hand holding a remote control', 'confidence': 0.910822291974947}]}, 'faces': [], 'requestId': '39d6a4f7-3540-4f25-be81-d6624a5d43a6', 'metadata': {'width': 968, 'height': 1296, 'format': 'Jpeg'}}"
